id,name,logo
97,Act in Games,https://www.festivaldujeu-montpellier.org/wp-content/uploads/2025/04/act_in_games.png
98,Abysse Corp,
99,Ankama,
100,Asmodee,https://cdn.svc.asmodee.net/production-asmodeefrv2/uploads/2024/05/LOGO_ASMODEE-1.png
101,Asyncron,
102,Atalia,https://www.atalia-jeux.com/img/atalia-jeux-logo-1489513199.jpg
103,Tiki,https://www.tikieditions.com/wp-content/uploads/2020/05/cropped-logo-250-250.png
104,Blue Orange,https://blueorangegames.eu/wp-content/uploads/thegem-logos/logo_2f8ee8a896e01b1b1f5df5ebcef34819_2x.png
105,Days of Wonder,https://ncdn1.daysofwonder.com/fr/img/boardgames_logo.png
106,Purple Brain Creations,
107,Blue Cocker Games,https://bluecocker.com/wp-content/themes/bluecockerunderscore/images/logo.svg
109,Bankiiiz Editions,https://wordpress.blackrockgames.fr/wp-content/uploads/2022/10/Sans-titre-10.jpg
110,Flip Flap Editions,
111,Ludonaute,https://www.ludonaute.fr/wp-content/uploads/2014/12/LOGO.png
112,Paille Editions,
113,Grain de Créa,
114,OZ éditions,
115,Edition 404,
116,Jeux Opla,https://www.jeux-opla.fr/wp-content/uploads/cropped-logo_opla-1-1.png
117,Old Chap,
118,Blackrock Games,https://cf.geekdo-images.com/hKD26bAH_-2lit7oihZtQA__itemrep/img/QXrsckBZaQQjAL_PdcD3tPCl9qI=/fit-in/246x300/filters:strip_icc()/pic7955792.png
119,Le Droit de Perdre,https://ledroitdeperdre.com/img/prestashop-logo-1603115177.jpg
122,Fun Forge,https://funforge.fr/cdn/shop/files/logo_2018-fondnoir.png?v=1703149432&width=180
123,Haba,https://www.haba-play.com/haba/assets/images/logo-haba.svg
124,Libellud,https://cdn.trictrac.net/discourse/original/3X/0/f/0f23476ebc64de67d08902f13e34ef32fe087916.png
125,Captain Macaque,
126,Bioviva,https://www.festivaldujeu-montpellier.org/wp-content/uploads/2019/10/bioviva.png
127,Game Flow,https://img.mailinblue.com/3995611/images/rnb/original/6124b1c14ec79830fb0e54b8.png
128,Cocktail Games,https://www.boitecast.net/wp-content/uploads/2014/12/cocktail-games-logo-296x300.png
129,Scorpion Masqué,https://www.scorpionmasque.com/sites/scorpionmasque.com/files/logo-100px.png
130,Catch Up Games,https://catchupgames.com/wp-content/uploads/2022/10/logo_fond_blanc.png
131,Igiari,
132,The Flying Games,https://wordpress.blackrockgames.fr/wp-content/uploads/2022/11/The-flying-games-logo-1024x791.jpg
133,Djeco,https://upload.wikimedia.org/wikipedia/fr/thumb/1/18/Logo_Djeco.svg/langfr-280px-Logo_Djeco.svg.png
134,Morning Player,
135,Blam!,https://blam-edition.com/wp-content/uploads/2023/04/image-4-395x175-c-default.png
136,Super Meeple,http://www.supermeeple.com/wp-content/uploads/2015/02/logo-supermeeple-margin-top1.png
137,Lui-même,
138,Gigamic,https://upload.wikimedia.org/wikipedia/commons/3/32/Logo_Gigamic_HD.jpg
139,Bombyx,https://www.festivaldujeu-montpellier.org/wp-content/uploads/2017/04/1808.png
140,Devil Pig Games,
141,Docteur Pilule,
142,Edge,
143,Geek Attitude Games,https://www.jeuxdenim.be/images/sites/GeekAttitudeGames-2020-02-02-11-54-13.jpg
144,Goliath,https://cdn.jeux-goliath.com/wp-content/themes/goliath/img/goliath-logo.png
145,Hurrican Edition,
146,Iello,https://iello.fr/wp-content/uploads/2021/08/logo-iello.svg
147,Ilopeli,
148,Intrafin,https://cdn1.philibertnet.com/c/8467-category_default/intrafin.jpg
149,La Boite de Jeu,https://laboitedejeu.fr/wp-content/uploads/2018/02/LBDJ-logo.png
150,Letheia,https://www.festivaldujeu-montpellier.org/wp-content/uploads/2023/04/letheia.png
151,Lumberjacks,https://lumberjacks-studio.com/wp-content/uploads/2022/06/Logo-Site-final.png
152,Chèvre édition,
153,Matagot,https://www.matagot.com/matagot-friends-logo.jpeg
154,Monolith,https://monolithedition.com/wp-content/uploads/2022/09/cropped-Monolith_Logo_2019-01-Light-v2-1.png
155,Origames,https://www.origames.fr/wp-content/uploads/2023/03/Logo-Origames-Editeur-scaled-1-150x87.png
157,Oya,
158,Pearl Games,
159,Wilson jeux,https://www.sancerre-lipopette.fr/img/m/61.jpg
